Year,Issue,Author,Title,Abstract,source,text
2011,1,Katerina Tsetsura,Is Public Relations a Real Job? How Female Practitioners Construct the Profession,"This study examined how female practitioners' discourses shape perceptions of public relations as an emerging field in Russia. Interviews with 25 practitioners from Moscow public relations agencies showed that a prism of a real job and a woman's job can help explain how socio-economic, professional, and gender-defined contexts influence practitioners' perceptions of public relations and provided evidence for understanding public relations as a socially constructed gendered profession. The study found that Russian women construct their professional identities in gendered ways that may limit their career opportunities.",academic_research,"Is Public Relations a Real Job? How Female Practitioners Construct the ProfessionThis study examined how female practitioners' discourses shape perceptions of public relations as an emerging field in Russia. Interviews with 25 practitioners from Moscow public relations agencies showed that a prism of a real job and a woman's job can help explain how socio-economic, professional, and gender-defined contexts influence practitioners' perceptions of public relations and provided evidence for understanding public relations as a socially constructed gendered profession. The study found that Russian women construct their professional identities in gendered ways that may limit their career opportunities."
2011,1,Trent Seltzer & Weiwu Zhang,Toward a Model of Political Organization-Public Relationships: Antecedent and Cultivation Strategy Influence on Citizens' Relationships with Political Parties,"This study examined the organization-public relationship between citizens and their political parties against the backdrop of the 2008 presidential general election. Employing a telephone survey of registered voters (n = 508), we investigated the interaction of politically relevant relationship antecedents, relationship cultivation strategies used by political parties, perceptions of the organization-public relationship between voters and their party, and outcomes of the relationship to test a model of political organization-public relationships (POPRs). Time, interpersonal trust, mediated communication, interpersonal communication, and dialogic communication emerged as significant predictors of POPR strength. The findings lay the groundwork for further investigation of POPRs.",academic_research,"Toward a Model of Political Organization-Public Relationships: Antecedent and Cultivation Strategy Influence on Citizens' Relationships with Political PartiesThis study examined the organization-public relationship between citizens and their political parties against the backdrop of the 2008 presidential general election. Employing a telephone survey of registered voters (n = 508), we investigated the interaction of politically relevant relationship antecedents, relationship cultivation strategies used by political parties, perceptions of the organization-public relationship between voters and their party, and outcomes of the relationship to test a model of political organization-public relationships (POPRs). Time, interpersonal trust, mediated communication, interpersonal communication, and dialogic communication emerged as significant predictors of POPR strength. The findings lay the groundwork for further investigation of POPRs."
2011,1,Seow Ting Lee & I.-Huei Cheng,Characteristics and Dimensions of Ethical Leadership in Public Relations,"This study explores the characteristics of leadership in developing and managing ethics in public relations, based on in-depth interviews with 20 public relations executives in the United States. Systematic analysis of the interview data identified multiple dimensions of ethical leadership and ethical knowledge, and suggested that ethical leadership is grounded in personal rather than professional characteristics. Personal ethics, interpersonal behaviors, and articulation of ethical standards emerged as 3 salient characteristics of an ideal leader in facilitating knowledge transfer of ethics in public relations organizations. Ethical knowledge is implicit, intangible, personal, and often difficult to identify or articulate, posing a challenge for the transfer of knowledge through structured and formalized approaches. Theoretical implications and practical recommendations are discussed.",academic_research,"Characteristics and Dimensions of Ethical Leadership in Public RelationsThis study explores the characteristics of leadership in developing and managing ethics in public relations, based on in-depth interviews with 20 public relations executives in the United States. Systematic analysis of the interview data identified multiple dimensions of ethical leadership and ethical knowledge, and suggested that ethical leadership is grounded in personal rather than professional characteristics. Personal ethics, interpersonal behaviors, and articulation of ethical standards emerged as 3 salient characteristics of an ideal leader in facilitating knowledge transfer of ethics in public relations organizations. Ethical knowledge is implicit, intangible, personal, and often difficult to identify or articulate, posing a challenge for the transfer of knowledge through structured and formalized approaches. Theoretical implications and practical recommendations are discussed."
2011,1,Kenon A. Brown & Candace L. White,Organization-Public Relationships and Crisis Response Strategies: Impact on Attribution of Responsibility,"The study examines how relationships with an organization and crisis response strategy affect attribution of crisis responsibility. Participants were exposed to 1 of 4 different crisis response strategies, manipulated through news articles. The study measured perceptions of the organization–public relationship, and after exposure to 1 of the 4 news articles, attribution of crisis responsibility. People with a positive relationship with the organization were less likely to place blame for the crisis on the organization regardless of crisis response strategy. The study provides evidence that maintaining positive relationships with stakeholders may be more important that individual crisis strategies.",academic_research,"Organization-Public Relationships and Crisis Response Strategies: Impact on Attribution of ResponsibilityThe study examines how relationships with an organization and crisis response strategy affect attribution of crisis responsibility. Participants were exposed to 1 of 4 different crisis response strategies, manipulated through news articles. The study measured perceptions of the organization–public relationship, and after exposure to 1 of the 4 news articles, attribution of crisis responsibility. People with a positive relationship with the organization were less likely to place blame for the crisis on the organization regardless of crisis response strategy. The study provides evidence that maintaining positive relationships with stakeholders may be more important that individual crisis strategies."
2011,1,Melanie James,A Provisional Conceptual Framework for Intentional Positioning in Public Relations,"Positioning within public relations is a concept not often addressed in public relations literature. This article reports on the progress of a project that aims to develop a way in which positioning could be usefully conceptualized within public relations. It suggests a conceptual framework that takes positioning beyond the marketing definitions that have limited use in the broader public relations field. The article reports on the development of a provisional conceptual framework for intentional positioning within a public relations context. Drawing from recent developments in positioning theory in the field of psychology, a framework was developed and applied to 57 award winning public relations campaign entries. Findings reveal that the positioning framework has the potential to be applied both as an heuristic to aid analysis of practice and also as a framework to aid practitioners in designing positioning strategies. Possibilities for further research are discussed.",academic_research,"A Provisional Conceptual Framework for Intentional Positioning in Public RelationsPositioning within public relations is a concept not often addressed in public relations literature. This article reports on the progress of a project that aims to develop a way in which positioning could be usefully conceptualized within public relations. It suggests a conceptual framework that takes positioning beyond the marketing definitions that have limited use in the broader public relations field. The article reports on the development of a provisional conceptual framework for intentional positioning within a public relations context. Drawing from recent developments in positioning theory in the field of psychology, a framework was developed and applied to 57 award winning public relations campaign entries. Findings reveal that the positioning framework has the potential to be applied both as an heuristic to aid analysis of practice and also as a framework to aid practitioners in designing positioning strategies. Possibilities for further research are discussed."
2011,2,Tim P. Vos,Explaining the Origins of Public Relations: Logics of Historical Explanation,"This study reviews a major body of research—historical explanations for the emergence of public relations as a social institution. This review of public relations histories identifies three distinct logics of historical explanation—a functionalist logic, an institutional logic, and a cultural logic. It then describes how these three logics are used in public relations histories and explores the theoretical and methodological challenges that each of these approaches presents.",academic_research,"Explaining the Origins of Public Relations: Logics of Historical ExplanationThis study reviews a major body of research—historical explanations for the emergence of public relations as a social institution. This review of public relations histories identifies three distinct logics of historical explanation—a functionalist logic, an institutional logic, and a cultural logic. It then describes how these three logics are used in public relations histories and explores the theoretical and methodological challenges that each of these approaches presents."
2011,2,Jiyang Bae & Sun-A Park,Socio-Contextual Influences on the Korean News Media's Interpretation of Samsung's $847.6 Million Donation,"By content analyzing a multinational company's philanthropic activities after a series of illegal issues based on the framework of the contingency theory of conflict management, Shoemaker and Reese's (1996) onion model of media message production process, and crisis communication theory, this study shows that the failure to fulfill legal responsibility cannot satisfy the important public (mass media in this case), even though the company tries to fulfill philanthropic responsibility as a crisis communication strategy. Although Samsung wanted to express its apology through a donation, the Korean news media interpreted Samsung's philanthropic donation as an excuse or justification to minimize negative outcomes such as a tarnished reputation. The different interpretations of the donation by Samsung and the Korean news media can be attributed to the sudden change of corporate stance, influence of similar events of other companies, and socio-contextual factors (i.e., media types and affiliation).",academic_research,"Socio-Contextual Influences on the Korean News Media's Interpretation of Samsung's $847.6 Million DonationBy content analyzing a multinational company's philanthropic activities after a series of illegal issues based on the framework of the contingency theory of conflict management, Shoemaker and Reese's (1996) onion model of media message production process, and crisis communication theory, this study shows that the failure to fulfill legal responsibility cannot satisfy the important public (mass media in this case), even though the company tries to fulfill philanthropic responsibility as a crisis communication strategy. Although Samsung wanted to express its apology through a donation, the Korean news media interpreted Samsung's philanthropic donation as an excuse or justification to minimize negative outcomes such as a tarnished reputation. The different interpretations of the donation by Samsung and the Korean news media can be attributed to the sudden change of corporate stance, influence of similar events of other companies, and socio-contextual factors (i.e., media types and affiliation)."
2011,2,"Jae-Hwa Shin, Robert L. Heath & Jaesub Lee",A Contingency Explanation of Public Relations Practitioner Leadership Styles: Situation and Culture,Public relations practitioners from the U.S. and South Korea identified preferred leadership styles in routine and non-routine situations. Results of discriminant function analysis suggested that U.S. professionals place greater importance on strategic communication or problem-solving activities than do Korean practitioners. Public relations practitioners prefer leadership characteristics and functions associated with practical and resourceful capabilities in non-routine situations. This preference is most obvious among Korean public relations practitioners. Findings are best explained by cultural and situational contingency perspective of public relations leadership.,academic_research,A Contingency Explanation of Public Relations Practitioner Leadership Styles: Situation and CulturePublic relations practitioners from the U.S. and South Korea identified preferred leadership styles in routine and non-routine situations. Results of discriminant function analysis suggested that U.S. professionals place greater importance on strategic communication or problem-solving activities than do Korean practitioners. Public relations practitioners prefer leadership characteristics and functions associated with practical and resourceful capabilities in non-routine situations. This preference is most obvious among Korean public relations practitioners. Findings are best explained by cultural and situational contingency perspective of public relations leadership.
2011,2,Soo Yeon Hong & Sung-Un Yang,Public Engagement in Supportive Communication Behaviors toward an Organization: Effects of Relational Satisfaction and Organizational Reputation in Public Relations Management,"Over the years, the understanding of the link between organization–public relationships and reputation constructs and their attitudinal and behavioral outcomes has advanced considerably. The Excellence Study (L. Grunig, J. Grunig, & Dozier, 2002) suggested that positive relationships built and maintained between organizations and publics can encourage publics to engage in supportive behaviors toward organizations. In support of this argument, Ki and Hon (2007b) empirically demonstrated the link between organization–public relationships and a public's supportive attitude and behavioral intentions toward an organization. Their findings show that among the four relationship indicators—control mutuality, trust, satisfaction, and commitment—relational satisfaction a public has with the organization had the strongest direct impact on the public's supportive attitude and indirect effects on behavioral intentions toward the organization. From the reputation management perspective, Fombrun pointed out that reputation “produces support for the company” (Fombrun & van Riel, 2003, p. 5), and added that reputation should be fostered because it affects publics' behaviors beneficial to organizations (Fombrun, 1996; Fombrun & van Riel, 2003). Empirical findings from recent studies support this view. Sung and Yang (2008) found that the reputation of a university perceived by its students had significant influence on their supportive attitudes toward the university. Also, in the context of country reputation, Yang, Shin, Lee and Wrigley (2008) found that the reputation of Korea perceived by foreigners had a strong effect on their supportive intentions toward Korea. As an extension to this line of research, the current study proposes to examine the effects of both relational satisfaction—a critical dimension of organization–public relationships—and organizational reputation on customers' supportive behaviors toward an organization, especially communication behaviors such as engagement in positive word-of-mouth communication and use of organizational media. Furthermore, this study aims to examine the critical mediation role of customers' identification with a company in the effects of relational satisfaction and organizational reputation on supportive communication behaviors.",academic_research,"Public Engagement in Supportive Communication Behaviors toward an Organization: Effects of Relational Satisfaction and Organizational Reputation in Public Relations ManagementOver the years, the understanding of the link between organization–public relationships and reputation constructs and their attitudinal and behavioral outcomes has advanced considerably. The Excellence Study (L. Grunig, J. Grunig, & Dozier, 2002) suggested that positive relationships built and maintained between organizations and publics can encourage publics to engage in supportive behaviors toward organizations. In support of this argument, Ki and Hon (2007b) empirically demonstrated the link between organization–public relationships and a public's supportive attitude and behavioral intentions toward an organization. Their findings show that among the four relationship indicators—control mutuality, trust, satisfaction, and commitment—relational satisfaction a public has with the organization had the strongest direct impact on the public's supportive attitude and indirect effects on behavioral intentions toward the organization. From the reputation management perspective, Fombrun pointed out that reputation “produces support for the company” (Fombrun & van Riel, 2003, p. 5), and added that reputation should be fostered because it affects publics' behaviors beneficial to organizations (Fombrun, 1996; Fombrun & van Riel, 2003). Empirical findings from recent studies support this view. Sung and Yang (2008) found that the reputation of a university perceived by its students had significant influence on their supportive attitudes toward the university. Also, in the context of country reputation, Yang, Shin, Lee and Wrigley (2008) found that the reputation of Korea perceived by foreigners had a strong effect on their supportive intentions toward Korea. As an extension to this line of research, the current study proposes to examine the effects of both relational satisfaction—a critical dimension of organization–public relationships—and organizational reputation on customers' supportive behaviors toward an organization, especially communication behaviors such as engagement in positive word-of-mouth communication and use of organizational media. Furthermore, this study aims to examine the critical mediation role of customers' identification with a company in the effects of relational satisfaction and organizational reputation on supportive communication behaviors."
2011,2,Sora Kim,Transferring Effects of CSR Strategy on Consumer Responses: The Synergistic Model of Corporate Communication Strategy,"This study proposes a synergistic model of corporate communication strategy (corporate ability strategy, corporate social responsibility strategy, and hybrid strategy) on consumer responses and tests the model using 2 Fortune 500 companies (Kellogg and Motorola). The study found that when a company is well-known to consumers as Motorola and Kellogg used in this study, a CSR strategy is more effective in influencing both consumer corporate ability (CAb) and CSR associations and in turn, company/product evaluations. Additionally, consumers tend to automatically assume a company is good at making reliable products when they associate the company with strong CSR, indicating transferring effects of CSR associations onto CAb associations, and onto company/product evaluations. The study results also suggest that the direct influences of CSR associations differ based on industry type. A company that produces high risk involved products such as Motorola, might not experience as strong CSR associations' effects on consumer responses as a company in other industry type like Kellogg.",academic_research,"Transferring Effects of CSR Strategy on Consumer Responses: The Synergistic Model of Corporate Communication StrategyThis study proposes a synergistic model of corporate communication strategy (corporate ability strategy, corporate social responsibility strategy, and hybrid strategy) on consumer responses and tests the model using 2 Fortune 500 companies (Kellogg and Motorola). The study found that when a company is well-known to consumers as Motorola and Kellogg used in this study, a CSR strategy is more effective in influencing both consumer corporate ability (CAb) and CSR associations and in turn, company/product evaluations. Additionally, consumers tend to automatically assume a company is good at making reliable products when they associate the company with strong CSR, indicating transferring effects of CSR associations onto CAb associations, and onto company/product evaluations. The study results also suggest that the direct influences of CSR associations differ based on industry type. A company that produces high risk involved products such as Motorola, might not experience as strong CSR associations' effects on consumer responses as a company in other industry type like Kellogg."
