"","Year","detailed_source","Source","text","clean_text"
"1",2011,"academic_research","academic","Is Public Relations a Real Job? How Female Practitioners Construct the Profession This study examined how female practitioners' discourses shape perceptions of public relations as an emerging field in Russia. Interviews with 25 practitioners from Moscow public relations agencies showed that a prism of a real job and a woman's job can help explain how socio-economic, professional, and gender-defined contexts influence practitioners' perceptions of public relations and provided evidence for understanding public relations as a socially constructed gendered profession. The study found that Russian women construct their professional identities in gendered ways that may limit their career opportunities.","real job female practitioners construct profession female practitioners discourses shape perceptions emerging field russia interviews practitioners moscow agencies prism real job womans job help explain socioeconomic professional genderdefined contexts influence practitioners perceptions provided evidence socially constructed gendered profession russian women construct professional identities gendered ways limit career opportunities"
"2",2011,"academic_research","academic","Toward a Model of Political Organization-Public Relationships: Antecedent and Cultivation Strategy Influence on Citizens' Relationships with Political Parties This study examined the organization-public relationship between citizens and their political parties against the backdrop of the 2008 presidential general election. Employing a telephone survey of registered voters (n = 508), we investigated the interaction of politically relevant relationship antecedents, relationship cultivation strategies used by political parties, perceptions of the organization-public relationship between voters and their party, and outcomes of the relationship to test a model of political organization-public relationships (POPRs). Time, interpersonal trust, mediated communication, interpersonal communication, and dialogic communication emerged as significant predictors of POPR strength. The findings lay the groundwork for further investigation of POPRs.","political organizationpublic relationships antecedent cultivation strategy influence citizens relationships political parties organizationpublic relationship citizens political parties backdrop presidential general election employing telephone survey registered voters n = investigated interaction politically relevant relationship antecedents relationship cultivation strategies used political parties perceptions organizationpublic relationship voters party outcomes relationship test political organizationpublic relationships poprs time interpersonal trust mediated communication interpersonal communication dialogic communication emerged predictors popr strength lay groundwork investigation poprs"
"3",2011,"academic_research","academic","Characteristics and Dimensions of Ethical Leadership in Public Relations This study explores the characteristics of leadership in developing and managing ethics in public relations, based on in-depth interviews with 20 public relations executives in the United States. Systematic analysis of the interview data identified multiple dimensions of ethical leadership and ethical knowledge, and suggested that ethical leadership is grounded in personal rather than professional characteristics. Personal ethics, interpersonal behaviors, and articulation of ethical standards emerged as 3 salient characteristics of an ideal leader in facilitating knowledge transfer of ethics in public relations organizations. Ethical knowledge is implicit, intangible, personal, and often difficult to identify or articulate, posing a challenge for the transfer of knowledge through structured and formalized approaches. Theoretical implications and practical recommendations are discussed.","characteristics dimensions ethical leadership characteristics leadership developing managing ethics depth interviews executives united states systematic interview data identified multiple dimensions ethical leadership ethical knowledge suggested ethical leadership grounded personal professional characteristics personal ethics interpersonal behaviors articulation ethical standards emerged salient characteristics ideal leader facilitating knowledge transfer ethics organizations ethical knowledge implicit intangible personal difficult identify articulate posing challenge transfer knowledge structured formalized practical recommendations"
"4",2011,"academic_research","academic","Organization-Public Relationships and Crisis Response Strategies: Impact on Attribution of Responsibility NA","organizationpublic relationships crisis response strategies impact attribution responsibility na"
"5",2011,"academic_research","academic","A Provisional Conceptual Framework for Intentional Positioning in Public Relations Positioning within public relations is a concept not often addressed in public relations literature. This article reports on the progress of a project that aims to develop a way in which positioning could be usefully conceptualized within public relations. It suggests a conceptual framework that takes positioning beyond the marketing definitions that have limited use in the broader public relations field. The article reports on the development of a provisional conceptual framework for intentional positioning within a public relations context. Drawing from recent developments in positioning theory in the field of psychology, a framework was developed and applied to 57 award winning public relations campaign entries. Findings reveal that the positioning framework has the potential to be applied both as an heuristic to aid analysis of practice and also as a framework to aid practitioners in designing positioning strategies. Possibilities for further research are discussed.","provisional conceptual framework intentional positioning positioning concept addressed reports progress project aims develop way positioning usefully conceptualized conceptual framework takes positioning beyond marketing definitions limited use broader field reports development provisional conceptual framework intentional positioning context drawing recent developments positioning field psychology framework developed applied award winning campaign entries reveal positioning framework potential applied heuristic aid practice framework aid practitioners designing positioning strategies possibilities"
"6",2011,"academic_research","academic","Explaining the Origins of Public Relations: Logics of Historical Explanation This study reviews a major body of research—historical explanations for the emergence of public relations as a social institution. This review of public relations histories identifies three distinct logics of historical explanation—a functionalist logic, an institutional logic, and a cultural logic. It then describes how these three logics are used in public relations histories and explores the theoretical and methodological challenges that each of these approaches presents.","explaining origins logics historical explanation reviews major body historical explanations emergence social institution review histories identifies distinct logics historical explanation functionalist logic institutional logic cultural logic describes logics used histories methodological challenges presents"
"7",2011,"academic_research","academic","Socio-Contextual Influences on the Korean News Media's Interpretation of Samsung's $847.6 Million Donation By content analyzing a multinational company's philanthropic activities after a series of illegal issues based on the framework of the contingency theory of conflict management, Shoemaker and Reese's (1996) onion model of media message production process, and crisis communication theory, this study shows that the failure to fulfill legal responsibility cannot satisfy the important public (mass media in this case), even though the company tries to fulfill philanthropic responsibility as a crisis communication strategy. Although Samsung wanted to express its apology through a donation, the Korean news media interpreted Samsung's philanthropic donation as an excuse or justification to minimize negative outcomes such as a tarnished reputation. The different interpretations of the donation by Samsung and the Korean news media can be attributed to the sudden change of corporate stance, influence of similar events of other companies, and socio-contextual factors (i.e., media types and affiliation).","sociocontextual influences korean news medias interpretation samsungs million donation content analyzing multinational companys philanthropic activities series illegal issues framework contingency conflict management shoemaker reeses onion media message production process crisis communication shows failure fulfill legal responsibility satisfy important public mass media case though company tries fulfill philanthropic responsibility crisis communication strategy samsung wanted express apology donation korean news media interpreted samsungs philanthropic donation excuse justification minimize negative outcomes tarnished reputation interpretations donation samsung korean news media attributed sudden change corporate stance influence similar events companies sociocontextual factors e media affiliation"
"8",2011,"academic_research","academic","A Contingency Explanation of Public Relations Practitioner Leadership Styles: Situation and Culture Public relations practitioners from the U.S. and South Korea identified preferred leadership styles in routine and non-routine situations. Results of discriminant function analysis suggested that U.S. professionals place greater importance on strategic communication or problem-solving activities than do Korean practitioners. Public relations practitioners prefer leadership characteristics and functions associated with practical and resourceful capabilities in non-routine situations. This preference is most obvious among Korean public relations practitioners. Findings are best explained by cultural and situational contingency perspective of public relations leadership.","contingency explanation practitioner leadership styles situation culture practitioners us south korea identified preferred leadership styles routine nonroutine situations discriminant function suggested us professionals place greater importance strategic communication problemsolving activities korean practitioners practitioners prefer leadership characteristics functions associated practical resourceful capabilities nonroutine situations preference obvious korean practitioners best explained cultural situational contingency perspective leadership"
"9",2011,"academic_research","academic","Public Engagement in Supportive Communication Behaviors toward an Organization: Effects of Relational Satisfaction and Organizational Reputation in Public Relations Management Over the years, the understanding of the link between organization–public relationships and reputation constructs and their attitudinal and behavioral outcomes has advanced considerably. The Excellence Study (L. Grunig, J. Grunig, & Dozier, 2002) suggested that positive relationships built and maintained between organizations and publics can encourage publics to engage in supportive behaviors toward organizations. In support of this argument, Ki and Hon (2007b) empirically demonstrated the link between organization–public relationships and a public's supportive attitude and behavioral intentions toward an organization. Their findings show that among the four relationship indicators—control mutuality, trust, satisfaction, and commitment—relational satisfaction a public has with the organization had the strongest direct impact on the public's supportive attitude and indirect effects on behavioral intentions toward the organization. From the reputation management perspective, Fombrun pointed out that reputation “produces support for the company” (Fombrun & van Riel, 2003, p. 5), and added that reputation should be fostered because it affects publics' behaviors beneficial to organizations (Fombrun, 1996; Fombrun & van Riel, 2003). Empirical findings from recent studies support this view. Sung and Yang (2008) found that the reputation of a university perceived by its students had significant influence on their supportive attitudes toward the university. Also, in the context of country reputation, Yang, Shin, Lee and Wrigley (2008) found that the reputation of Korea perceived by foreigners had a strong effect on their supportive intentions toward Korea. As an extension to this line of research, the current study proposes to examine the effects of both relational satisfaction—a critical dimension of organization–public relationships—and organizational reputation on customers' supportive behaviors toward an organization, especially communication behaviors such as engagement in positive word-of-mouth communication and use of organizational media. Furthermore, this study aims to examine the critical mediation role of customers' identification with a company in the effects of relational satisfaction and organizational reputation on supportive communication behaviors.","public engagement supportive communication behaviors organization effects relational satisfaction organizational reputation management years link organizationpublic relationships reputation constructs attitudinal behavioral outcomes advanced considerably excellence l grunig j grunig dozier suggested positive relationships built maintained organizations publics encourage publics engage supportive behaviors organizations support argument ki hon empirically demonstrated link organizationpublic relationships publics supportive attitude behavioral intentions organization relationship indicatorscontrol mutuality trust satisfaction commitmentrelational satisfaction public organization strongest direct impact publics supportive attitude indirect effects behavioral intentions organization reputation management perspective fombrun pointed reputation produces support company fombrun van riel p added reputation fostered affects publics behaviors beneficial organizations fombrun fombrun van riel empirical recent support view sung yang reputation university perceived students influence supportive attitudes university context country reputation yang shin lee wrigley reputation korea perceived foreigners strong effect supportive intentions korea extension line current proposes effects relational satisfaction critical dimension organizationpublic relationships organizational reputation customers supportive behaviors organization especially communication behaviors engagement positive wordmouth communication use organizational media furthermore aims critical mediation role customers identification company effects relational satisfaction organizational reputation supportive communication behaviors"
"10",2011,"academic_research","academic","Transferring Effects of CSR Strategy on Consumer Responses: The Synergistic Model of Corporate Communication Strategy This study proposes a synergistic model of corporate communication strategy (corporate ability strategy, corporate social responsibility strategy, and hybrid strategy) on consumer responses and tests the model using 2 Fortune 500 companies (Kellogg and Motorola). The study found that when a company is well-known to consumers as Motorola and Kellogg used in this study, a CSR strategy is more effective in influencing both consumer corporate ability (CAb) and CSR associations and in turn, company/product evaluations. Additionally, consumers tend to automatically assume a company is good at making reliable products when they associate the company with strong CSR, indicating transferring effects of CSR associations onto CAb associations, and onto company/product evaluations. The study results also suggest that the direct influences of CSR associations differ based on industry type. A company that produces high risk involved products such as Motorola, might not experience as strong CSR associations' effects on consumer responses as a company in other industry type like Kellogg.","transferring effects csr strategy consumer responses synergistic corporate communication strategy proposes synergistic corporate communication strategy corporate ability strategy corporate social responsibility strategy hybrid strategy consumer responses tests using fortune companies kellogg motorola company known consumers motorola kellogg used csr strategy effective influencing consumer corporate ability cab csr associations turn companyproduct evaluations additionally consumers tend automatically assume company good making reliable products associate company strong csr indicating transferring effects csr associations onto cab associations onto companyproduct evaluations direct influences csr associations differ industry company produces high risk involved products motorola might experience strong csr associations effects consumer responses company industry like kellogg"
